"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"BAR1";"HDSP-4836";1;"2510SR-1";;;
2;"SW2,SW1";"SW_E-Switch_EG1224_SPDT_Angled";2;"SW_SPDT";;;
3;"C1";"CP_Radial_D4.0mm_P2.00mm";1;"22 µF";;;
4;"J1";"Jack_3.5mm_Lumberg_1503_07_Horizontal";1;"AudioPlug";;;
5;"RV1,RV2";"Potentiometer_Bourns_3266Y_Vertical";2;"4,7kΩ";;;
6;"J3,J4";"PinHeader_1x03_P1.27mm_Vertical";2;"Conn_01x03_Female";;;
7;"SW3";"SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm";1;"SW_DIP_x03";;;
8;"D0";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N5711";;;
9;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1.2kΩ";;;
10;"U1";"DIP-18_W7.62mm_Socket";1;"LM3914N";;;
11;"J2";"BNC_TEConnectivity_1478035_Horizontal";1;"Conn_Coaxial";;;
12;"J0";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
